proper func;Douglas;  Douglas;;;;;Tiger Global Management;Tiger ;Global Management
upper func;;;;;;;Susquehanna Growth Equity;Susquehanna ;Growth Equity
lower func;;;;;;;Sequoia Capital India;Sequoia ;Capital India
trim func;;;;;;;Vinod Khatumal;Vinod ;Khatumal
;;;;;;;Sprout Venture Partners;Sprout ;Venture Partners
;;;;;;;Chiratae Ventures;Chiratae ;Ventures
;;;;;;;Ant Financial;Ant ;Financial
;;;;;;;Sathguru Catalyzer Advisors;Sathguru ;Catalyzer Advisors
;;;;;;;Ping An Global Voyager Fund;Ping ;An Global Voyager Fund
;;;;;;;Mumbai Angels, Ravikanth Reddy;Mumbai ;Angels, Ravikanth Reddy
;;;;;;;SAIF Partners, Spring Canter Investment Ltd.;SAIF ;Partners, Spring Canter Investment Ltd.
;;;;;;;Paytm, NPTK, Sabre Partners and Neoplux;Paytm, ;NPTK, Sabre Partners and Neoplux
;;;;;;;Vertex Growth Fund;Vertex ;Growth Fund
;;;;;;;Ruizheng Investment;Ruizheng ;Investment
;;;;;;;Manipal Education and Medical Group (MEMG);Manipal ;Education and Medical Group (MEMG)
;;;;;;;SoftBank Vision Fund;SoftBank ;Vision Fund
;;;;;;;Sequoia, CapitalG, Accel;Sequoia, ;CapitalG, Accel
;;;;;;;Sauce.vc, Rainforest Ventures;Sauce.vc, ;Rainforest Ventures
;;;;;;;Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg;Prime ;Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg
;;;;;;;RB Investments;RB ;Investments
;;;;;;;DG Daiwa Ventures, DG Incubation;DG ;Daiwa Ventures, DG Incubation
;;;;;;;Trifecta Capital Advisors;Trifecta ;Capital Advisors
;;;;;;;;;
;;;;;;;Dream Incubator;Dream ;Incubator
;;;;;;;Altimeter Capital, Sutter Hill Ventures;Altimeter ;Capital, Sutter Hill Ventures
;;;;;;;Startup Buddy;Startup ;Buddy
;;;;;;;Amour Infrastructure;Amour ;Infrastructure
;;;;;;;Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing;Ackermans ;& van Haaren, HealthQuad, Rebright Partners, Toppan Printing
;;;;;;;Matrix Partners, Stellaris Venture Partners, Kalaari Capital;Matrix ;Partners, Stellaris Venture Partners, Kalaari Capital
;;;;;;;IAN Fund and DSG Consumer Partners;IAN ;Fund and DSG Consumer Partners
;;;;;;;Vijay Shekhar Sharma;Vijay ;Shekhar Sharma
;;;;;;;;;
;;;;;;;Altimeter Capital, DST Global;Altimeter ;Capital, DST Global
;;;;;;;Ayushmann Khurana;Ayushmann ;Khurana
;;;;;;;Matrix Partners India, Sequoia India;Matrix ;Partners India, Sequoia India
;;;;;;;SAIF Partners;SAIF ;Partners
;;;;;;;TIW Private Equity;TIW ;Private Equity
;;;;;;;Exfinity Venture Partners;Exfinity ;Venture Partners
;;;;;;;Breakthrough Energy Ventures;Breakthrough ;Energy Ventures
;;;;;;;Endiya Partners;Endiya ;Partners
;;;;;;;A91 Partners;A91 ;Partners
;;;;;;;Bennett Coleman and Company Ltd (BCCL);Bennett ;Coleman and Company Ltd (BCCL)
;;;;;;;India Quotient, Axilor Ventures;India ;Quotient, Axilor Ventures
;;;;;;;SC GG India Mobility Holdings LLC;SC ;GG India Mobility Holdings LLC
;;;;;;;Sequoia India;Sequoia ;India
;;;;;;;;;
;;;;;;;Azim Premji, Binny Bansal;Azim ;Premji, Binny Bansal
;;;;;;;Pine Labs Pte Ltd;Pine ;Labs Pte Ltd
;;;;;;;;;
;;;;;;;MS Dhoni;MS ;Dhoni
;;;;;;;March Capital Partners;March ;Capital Partners
;;;;;;;XL Innovate;XL ;Innovate
;;;;;;;Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow);Rashmi ;Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)
;;;;;;;RPS Ventures;RPS ;Ventures
;;;;;;;Tiger Global Management;Tiger ;Global Management
;;;;;;;One97 Communications Ltd.;One97 ;Communications Ltd.
;;;;;;;Growth DNA;Growth ;DNA
;;;;;;;Vir Sanghvi;Vir ;Sanghvi
;;;;;;;Softbank Vision Fund;Softbank ;Vision Fund
;;;;;;;Westbridge Capital;Westbridge ;Capital
;;;;;;;Lok Capital, IIFL Wealth;Lok ;Capital, IIFL Wealth
;;;;;;;WaterBridge Ventures;WaterBridge ;Ventures
;;;;;;;Kapil Dev;Kapil ;Dev
;;;;;;;DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury;DIG ;Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury
;;;;;;;March Capital Partners;March ;Capital Partners
;;;;;;;Artha Venture;Artha ;Venture
;;;;;;;Qatar Investment Authority;Qatar ;Investment Authority
;;;;;;;Composite Capital Management, Sequoia Capital India, Tiger Global Management;Composite ;Capital Management, Sequoia Capital India, Tiger Global Management
;;;;;;;;;
;;;;;;;;;
;;;;;;;Blume Ventures;Blume ;Ventures
;;;;;;;Binny Bansal;Binny ;Bansal
;;;;;;;Multiple Angel Investors;Multiple ;Angel Investors
;;;;;;;General Atlantic;General ;Atlantic
;;;;;;;Anicut Capital;Anicut ;Capital
;;;;;;;Goldman Sachs, Accel Partners and Qualcomm;Goldman ;Sachs, Accel Partners and Qualcomm
;;;;;;;Matrix Partners;Matrix ;Partners
;;;;;;;Insight Partners;Insight ;Partners
;;;;;;;Triton Investment Advisors, Pidilite Industries director Ajay Parekh;Triton ;Investment Advisors, Pidilite Industries director Ajay Parekh
;;;;;;;Blume Ventures and RTP Global;Blume ;Ventures and RTP Global
;;;;;;;Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand;Shell ;Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand
;;;;;;;IAN Fund;IAN ;Fund
;;;;;;;Qiming Venture Partners;Qiming ;Venture Partners
;;;;;;;Nexus Venture Partners;Nexus ;Venture Partners
;;;;;;;Tiger Global Management;Tiger ;Global Management
;;;;;;;WestBridge Capital;WestBridge ;Capital
;;;;;;;Alteria Capital;Alteria ;Capital
;;;;;;;Mumbai Angels;Mumbai ;Angels
;;;;;;;Tata Sons;Tata ;Sons
;;;;;;;C4D Partners;C4D ;Partners
;;;;;;;Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana;Indian ;Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana
;;;;;;;Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,;Goldman ;Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,
;;;;;;;Tiger Global Management;Tiger ;Global Management
;;;;;;;Sachin Bansal;Sachin ;Bansal
;;;;;;;Equanimity Ventures;Equanimity ;Ventures
;;;;;;;Korea Investment Partners, Vertex Ventures;Korea ;Investment Partners, Vertex Ventures
;;;;;;;Sixth Sense Ventures;Sixth ;Sense Ventures
;;;;;;;Eight Roads;Eight ;Roads
;;;;;;;Prasid Uno Family Trust;Prasid ;Uno Family Trust
;;;;;;;Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,;Unilever, ;Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,
;;;;;;;Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV;Orchid ;India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV
;;;;;;;Unnamed angel investors;Unnamed ;angel investors
;;;;;;;Lightspeed India Partners;Lightspeed ;India Partners
;;;;;;;;;
;;;;;;;Supera Pte Ltd;Supera ;Pte Ltd
;;;;;;;Kalyan Krishnamurthy;Kalyan ;Krishnamurthy
;;;;;;;Sequoia India, Tiger Global Management, Accel Partners;Sequoia ;India, Tiger Global Management, Accel Partners
;;;;;;;Sixth Sense Ventures;Sixth ;Sense Ventures
;;;;;;;BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital;BAC ;Acquisitions, Unifi AIF, BRD Securities, Northern R Capital
;;;;;;;New Atlantic Ventures;New ;Atlantic Ventures
;;;;;;;021 Capita, Binny Bansal;21;Capita, Binny Bansal
;;;;;;;India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund;India ;Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund
;;;;;;;Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina;Sequoia ;Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina
;;;;;;;LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments;LetsVenture, ;PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments
;;;;;;;DiDi Chuxing;DiDi ;Chuxing
;;;;;;;Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank;Sequoia ;India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank
;;;;;;;Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital;Iron ;Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital
;;;;;;;MASSIF, a Dutch government fund;MASSIF, ;a Dutch government fund
;;;;;;;Stellaris Venture Partners;Stellaris ;Venture Partners
;;;;;;;Steadview Capital and Vy Capital.;Steadview ;Capital and Vy Capital.
;;;;;;;Individual Investors;Individual ;Investors
;;;;;;;Individual Investors;Individual ;Investors
;;;;;;;Omphalos Ventures India LLP;Omphalos ;Ventures India LLP
;;;;;;;Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.;Info ;Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.
;;;;;;;Venture Highway, GREE Ventures, Space Matrix, Individual Investors;Venture ;Highway, GREE Ventures, Space Matrix, Individual Investors
;;;;;;;Lead Angels Network;Lead ;Angels Network
;;;;;;;Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai;Norwest ;Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai
;;;;;;;Shunwei Capital, DST Partners and RPS Ventures;Shunwei ;Capital, DST Partners and RPS Ventures
;;;;;;;;;
;;;;;;;RB Investments, Singapore;RB ;Investments, Singapore
;;;;;;;Tiger Global;Tiger ;Global
;;;;;;;Mayfield Fund;Mayfield ;Fund
;;;;;;;Stevens Creek Ventures;Stevens ;Creek Ventures
;;;;;;;Venture Catalysts;Venture ;Catalysts
;;;;;;;SoftBank Vision Fund;SoftBank ;Vision Fund
;;;;;;;Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.;Sistema ;Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.
;;;;;;;Individual investors;Individual ;investors
;;;;;;;Teachers Insurance and Annuity Association (TIAA);Teachers ;Insurance and Annuity Association (TIAA)
;;;;;;;Individual investors;Individual ;investors
;;;;;;;Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India;Stellaris ;Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India
;;;;;;;Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.;Lakestar ;and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.
;;;;;;;Paragon Partners, Individual Investors;Paragon ;Partners, Individual Investors
;;;;;;;Bertelsmann India Investments;Bertelsmann ;India Investments
;;;;;;;Prashant Jaiswal;Prashant ;Jaiswal
;;;;;;;Cooperative Oikocredit, Caspian and Hivos-Triodos Fund;Cooperative ;Oikocredit, Caspian and Hivos-Triodos Fund
;;;;;;;Ravi Viswanathan;Ravi ;Viswanathan
;;;;;;;;;
;;;;;;;Credence Family Office;Credence ;Family Office
;;;;;;;Sequoia Capital India;Sequoia ;Capital India
;;;;;;;Fosun International;Fosun ;International
;;;;;;;Sistema Asia Fund, Sistema JSFC and Tanncam Investment;Sistema ;Asia Fund, Sistema JSFC and Tanncam Investment
;;;;;;;DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.;DST ;Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.
;;;;;;;Falcon Edge;Falcon ;Edge
;;;;;;;;;
;;;;;;;Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others;Korea ;Investment Partners (KIP), Samsung and China-based CITIC Capital and others
