,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,price-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3.0,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245108,-0.8513345559782999,-2.0290145032580464,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0,Low,0,1,1,0
1,3.0,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245108,-0.8513345559782999,-2.0290145032580464,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,Low,0,1,1,0
2,1.0,122.0,alfa-romero,two,hatchback,rwd,front,94.5,-0.243544260846782,-0.18513448909205427,-0.5583194270710061,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,Low,0,1,1,0
3,2.0,164.0,audi,four,sedan,fwd,front,99.8,0.19469005732811234,0.1479655443510685,0.21788075202770885,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,Low,0,1,1,0
4,2.0,164.0,audi,four,sedan,4wd,front,99.4,0.19469005732811234,0.24313698247767598,0.21788075202770885,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,Low,0,1,1,0
5,2.0,122.0,audi,two,sedan,fwd,front,99.8,0.25149820968411846,0.19555126341436888,-0.27235094003463606,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,Low,0,1,1,0
6,1.0,158.0,audi,four,sedan,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.7898177261004489,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,Low,0,1,1,0
7,1.0,122.0,audi,four,wagon,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.7898177261004489,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,Medium,0,1,1,0
8,1.0,158.0,audi,four,sedan,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.8715230081108383,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0,Medium,0,1,0,1
9,2.0,192.0,bmw,two,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0,Low,0,1,1,0
10,,192.0,bmw,four,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,Low,0,1,1,0
11,,188.0,bmw,two,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0,Medium,0,1,1,0
12,,188.0,bmw,four,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,Medium,0,1,1,0
13,1.0,122.0,bmw,four,sedan,rwd,front,103.5,1.2010058990630543,0.4810655777941913,0.7898177261004489,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0,Medium,0,1,1,0
14,,122.0,bmw,four,sedan,rwd,front,103.5,1.2010058990630543,0.4810655777941913,0.7898177261004489,3230.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,Medium,0,1,1,0
15,,122.0,bmw,two,sedan,rwd,front,103.5,1.5905475152185165,0.9569227684272219,-0.027235094003462152,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0,High,0,1,1,0
16,,122.0,bmw,four,sedan,rwd,front,110.0,1.850241925988823,2.384494340326314,1.03493357213162,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0,High,0,1,1,0
17,2.0,121.0,chevrolet,two,hatchback,fwd,front,88.4,-2.686294812154986,-2.659591880383815,-0.2314982990294399,1488.0,l,three,61.0,2bbl,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0,Low,0,1,1,0
18,1.0,98.0,chevrolet,two,hatchback,fwd,front,94.5,-1.4852081623423132,-1.0892631512948117,-0.7217299910917877,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0,Low,0,1,1,0
19,,81.0,chevrolet,four,sedan,fwd,front,94.5,-1.2498601025817215,-1.0892631512948117,-0.7217299910917877,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0,Low,0,1,1,0
20,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,5572.0,Low,0,1,1,0
21,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0,Low,0,1,1,0
22,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,Low,0,1,0,1
